time_s,road_mm,baseline_mm,revised_mm
3.75400000,-5.00000000,-5.45986152,-4.17488480
3.75900000,-5.00000000,-4.84517490,-4.00012263
3.76400000,-5.00000000,-4.31269763,-3.87108190
3.76900000,-5.00000000,-3.91420643,-3.78614486
3.77400000,-5.00000000,-3.68082927,-3.74270405
3.77900000,-5.00000000,-3.62168471,-3.73734029
3.78400000,-5.00000000,-3.72516165,-3.76600264
3.78900000,-5.00000000,-3.96241684,-3.82418521
3.79400000,-5.00000000,-4.29245997,-3.90709662
3.79900000,-5.00000000,-4.66808235,-4.00981825
3.80400000,-5.00000000,-5.04186777,-4.12744856
3.80900000,-5.00000000,-5.37159480,-4.25523094
3.81400000,-5.00000000,-5.62448147,-4.38866378
3.81900000,-5.00000000,-5.77991250,-4.52359152
3.82400000,-5.00000000,-5.83049915,-4.65627664
3.82900000,-5.00000000,-5.78152670,-4.78345257
3.83400000,-5.00000000,-5.64902191,-4.90235833
3.83900000,-5.00000000,-5.45680483,-5.01075597
3.84400000,-5.00000000,-5.23296634,-5.10693223
3.84900000,-5.00000000,-5.00623143,-5.18968614
3.85400000,-5.00000000,-4.80263301,-5.25830442
3.85900000,-5.00000000,-4.64284100,-5.31252663
3.86400000,-5.00000000,-4.54038080,-5.35250222
3.86900000,-5.00000000,-4.50084983,-5.37874144
3.87400000,-5.00000000,-4.52211612,-5.39206211
3.87900000,-5.00000000,-4.59537303,-5.39353405
3.88400000,-5.00000000,-4.70684051,-5.38442305
3.88900000,-5.00000000,-4.83985173,-5.36613574
3.89400000,-5.00000000,-4.97704793,-5.34016686
3.89900000,-5.00000000,-5.10242093,-5.30804994
3.90400000,-5.00000000,-5.20298759,-5.27131246
3.90900000,-5.00000000,-5.26994494,-5.23143605
3.91400000,-5.00000000,-5.29922951,-5.18982229
3.91900000,-5.00000000,-5.29147996,-5.14776443
3.92400000,-5.00000000,-5.25147021,-5.10642508
3.92900000,-5.00000000,-5.18713279,-5.06681979
3.93400000,-5.00000000,-5.10832658,-5.02980636
3.93900000,-5.00000000,-5.02551552,-4.99607951
3.94400000,-5.00000000,-4.94851761,-4.96617041
3.94900000,-5.00000000,-4.88545872,-4.94045067
3.95400000,-5.00000000,-4.84202851,-4.91914001
3.95900000,-5.00000000,-4.82109097,-4.90231724
3.96400000,-5.00000000,-4.82265662,-4.88993361
3.96900000,-5.00000000,-4.84418134,-4.88182823
